"日付け","終値","始値","高値","安値","出来高","前日比%"
"2019年02月06日","369,948","376,686","377,772","366,319","38.88K","-1.76%"
"2019年02月05日","376,562","374,873","377,297","373,519","21.26K","0.45%"
"2019年02月04日","374,873","373,701","376,405","372,601","27.11K","0.27%"
"2019年02月03日","373,847","379,091","379,892","370,777","26.29K","-1.38%"
"2019年02月02日","379,091","375,948","382,190","373,196","28.55K","0.84%"
"2019年02月01日","375,946","370,851","378,022","368,032","33.13K","1.37%"
"2019年01月31日","370,851","374,325","377,308","368,980","31.89K","-0.99%"
"2019年01月30日","374,547","371,508","377,910","368,791","36.02K","0.82%"
"2019年01月29日","371,508","375,148","376,125","366,392","37.08K","-0.97%"
"2019年01月28日","375,149","386,760","386,881","370,163","51.32K","-3.06%"
"2019年01月27日","386,974","389,640","390,117","381,349","25.06K","-0.68%"
"2019年01月26日","389,626","390,494","397,695","387,911","26.87K","-0.21%"
"2019年01月25日","390,437","391,495","392,883","386,654","28.29K","-0.27%"
"2019年01月24日","391,495","389,429","393,206","387,152","25.64K","0.54%"
"2019年01月23日","389,381","391,216","397,443","386,406","31.98K","-0.47%"
"2019年01月22日","391,225","388,074","394,162","376,760","35.99K","0.80%"
"2019年01月21日","388,102","388,350","390,411","383,715","26.81K","-0.04%"
"2019年01月20日","388,276","405,395","407,602","382,129","32.26K","-4.22%"
"2019年01月19日","405,397","397,053","412,443","396,783","26.42K","2.10%"
"2019年01月18日","397,053","394,785","398,727","393,746","22.43K","0.57%"
"2019年01月17日","394,801","394,193","397,486","387,685","31.53K","0.17%"
"2019年01月16日","394,127","389,999","398,164","388,906","30.79K","1.05%"
"2019年01月15日","390,042","397,180","399,415","386,979","30.77K","-1.80%"
"2019年01月14日","397,180","381,696","401,303","381,154","30.97K","4.07%"
"2019年01月13日","381,648","393,381","396,366","379,387","29.19K","-2.97%"
"2019年01月12日","393,348","395,121","396,819","389,603","21.34K","-0.45%"
"2019年01月11日","395,114","393,801","401,051","389,122","37.21K","0.37%"
"2019年01月10日","393,658","433,535","435,630","388,964","50.09K","-9.20%"
"2019年01月09日","433,535","435,020","439,799","431,536","32.29K","-0.34%"
"2019年01月08日","435,025","434,702","446,608","429,032","41.44K","0.05%"
"2019年01月07日","434,796","438,197","440,525","429,471","36.60K","-0.77%"
"2019年01月06日","438,188","412,324","442,020","408,984","36.79K","6.27%"
"2019年01月05日","412,324","414,532","419,471","409,533","26.86K","-0.55%"
"2019年01月04日","414,584","408,882","418,112","405,063","32.08K","1.40%"
"2019年01月03日","408,875","417,823","419,429","406,883","27.50K","-2.14%"
"2019年01月02日","417,823","419,435","425,024","412,572","36.43K","-0.37%"
"2019年01月01日","419,377","406,563","420,577","400,705","23.97K","3.13%"
"2018年12月31日","406,649","423,340","423,987","402,025","34.99K","-3.95%"
"2018年12月30日","423,362","411,505","425,564","407,927","35.82K","2.88%"
"2018年12月29日","411,505","429,317","433,872","409,221","35.04K","-4.15%"
"2018年12月28日","429,307","399,119","433,042","396,291","41.52K","7.58%"
